Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,Background
0.40 0.26,0.41 0.33,0.36 0.33,0.28 0.32,0.29 0.23,0.46 0.33,0.54 0.33,0.54 0.24,0.37 0.55,0.37 0.70,0.36 0.84,0.44 0.55,0.44 0.70,0.45 0.85,0.39 0.24,0.42 0.24,0.39 0.25,0.44 0.25
0.40 0.26,0.41 0.33,0.36 0.32,0.28 0.32,0.29 0.23,0.46 0.33,0.54 0.33,0.53 0.23,0.37 0.55,0.37 0.70,0.36 0.83,0.44 0.55,0.44 0.71,0.45 0.85,0.39 0.24,0.42 0.24,0.38 0.25,0.44 0.25
0.41 0.26,0.41 0.33,0.36 0.33,0.28 0.32,0.29 0.24,0.46 0.33,0.54 0.33,0.53 0.23,0.37 0.54,0.37 0.70,0.36 0.84,0.44 0.54,0.44 0.71,0.45 0.85,0.40 0.24,0.42 0.24,0.38 0.25,0.44 0.25
0.41 0.26,0.41 0.33,0.36 0.33,0.28 0.32,0.29 0.23,0.46 0.33,0.54 0.33,0.53 0.23,0.37 0.55,0.37 0.70,0.36 0.84,0.44 0.55,0.44 0.71,0.45 0.85,0.40 0.24,0.42 0.24,0.38 0.25,0.44 0.25
0.41 0.26,0.41 0.33,0.36 0.33,0.28 0.32,0.29 0.23,0.46 0.33,0.54 0.33,0.53 0.23,0.37 0.54,0.37 0.70,0.36 0.84,0.44 0.55,0.44 0.71,0.45 0.85,0.40 0.24,0.42 0.24,0.38 0.24,0.44 0.25
0.41 0.26,0.41 0.33,0.36 0.33,0.28 0.32,0.29 0.23,0.46 0.33,0.54 0.33,0.53 0.23,0.37 0.54,0.37 0.71,0.36 0.84,0.44 0.55,0.44 0.71,0.45 0.85,0.40 0.24,0.42 0.24,0.38 0.25,0.44 0.25
0.41 0.26,0.41 0.33,0.36 0.32,0.28 0.32,0.29 0.23,0.46 0.33,0.54 0.33,0.53 0.23,0.37 0.54,0.37 0.70,0.36 0.83,0.44 0.55,0.44 0.71,0.45 0.85,0.40 0.24,0.42 0.24,0.38 0.25,0.44 0.25
0.41 0.26,0.41 0.33,0.36 0.32,0.28 0.32,0.29 0.23,0.46 0.33,0.54 0.33,0.53 0.23,0.37 0.54,0.37 0.70,0.36 0.83,0.44 0.55,0.44 0.71,0.45 0.84,0.40 0.24,0.42 0.24,0.38 0.24,0.44 0.25
0.41 0.26,0.41 0.33,0.35 0.32,0.28 0.32,0.29 0.23,0.46 0.33,0.54 0.33,0.53 0.23,0.37 0.54,0.37 0.71,0.36 0.84,0.44 0.55,0.44 0.71,0.46 0.86,0.39 0.24,0.42 0.24,0.38 0.24,0.44 0.25
0.41 0.26,0.41 0.32,0.36 0.32,0.28 0.32,0.29 0.23,0.46 0.33,0.54 0.33,0.53 0.23,0.37 0.54,0.37 0.70,0.36 0.84,0.44 0.55,0.44 0.71,0.46 0.85,0.40 0.24,0.42 0.24,0.38 0.24,0.44 0.25
0.41 0.26,0.41 0.33,0.36 0.32,0.28 0.32,0.29 0.23,0.46 0.33,0.54 0.33,0.53 0.23,0.37 0.54,0.37 0.71,0.36 0.84,0.44 0.54,0.44 0.71,0.45 0.85,0.40 0.24,0.42 0.24,0.38 0.25,0.44 0.25
0.41 0.26,0.41 0.33,0.36 0.32,0.28 0.31,0.29 0.22,0.46 0.33,0.54 0.32,0.53 0.22,0.37 0.54,0.37 0.70,0.36 0.84,0.44 0.55,0.44 0.71,0.46 0.85,0.40 0.24,0.42 0.24,0.38 0.24,0.44 0.24
0.41 0.26,0.41 0.32,0.35 0.32,0.28 0.29,0.29 0.20,0.46 0.33,0.54 0.30,0.53 0.21,0.37 0.54,0.37 0.71,0.36 0.83,0.44 0.54,0.44 0.71,0.45 0.85,0.39 0.24,0.42 0.24,0.38 0.24,0.44 0.24
0.41 0.26,0.41 0.32,0.35 0.32,0.28 0.26,0.29 0.16,0.46 0.32,0.53 0.28,0.53 0.18,0.37 0.54,0.37 0.70,0.36 0.84,0.44 0.54,0.44 0.71,0.46 0.86,0.40 0.24,0.42 0.24,0.38 0.24,0.44 0.24
0.41 0.26,0.41 0.32,0.36 0.31,0.30 0.24,0.30 0.14,0.46 0.32,0.53 0.24,0.53 0.15,0.37 0.54,0.37 0.70,0.36 0.84,0.44 0.54,0.44 0.71,0.46 0.86,0.40 0.24,0.42 0.24,0.38 0.24,0.44 0.25
0.41 0.26,0.41 0.32,0.37 0.31,0.31 0.23,0.31 0.12,0.46 0.31,0.52 0.24,0.52 0.14,0.38 0.54,0.37 0.71,0.36 0.84,0.44 0.54,0.44 0.71,0.46 0.85,0.40 0.24,0.42 0.24,0.38 0.24,0.44 0.25
0.41 0.26,0.41 0.32,0.37 0.31,0.31 0.23,0.31 0.11,0.46 0.31,0.52 0.24,0.52 0.14,0.38 0.54,0.37 0.70,0.36 0.84,0.44 0.54,0.44 0.71,0.46 0.86,0.40 0.24,0.42 0.24,0.38 0.24,0.44 0.25
0.41 0.26,0.41 0.32,0.37 0.31,0.31 0.23,0.31 0.11,0.46 0.31,0.52 0.24,0.53 0.14,0.38 0.54,0.37 0.70,0.36 0.84,0.44 0.54,0.44 0.71,0.46 0.86,0.40 0.24,0.42 0.24,0.39 0.24,0.44 0.24
0.41 0.26,0.41 0.32,0.37 0.31,0.31 0.23,0.31 0.11,0.46 0.31,0.52 0.24,0.53 0.14,0.38 0.54,0.37 0.70,0.36 0.84,0.44 0.54,0.44 0.71,0.46 0.86,0.40 0.24,0.42 0.24,0.39 0.24,0.44 0.24
0.41 0.26,0.41 0.32,0.37 0.31,0.31 0.23,0.31 0.12,0.46 0.31,0.53 0.24,0.53 0.15,0.38 0.53,0.37 0.70,0.36 0.84,0.44 0.54,0.44 0.71,0.46 0.86,0.40 0.24,0.42 0.24,0.39 0.24,0.44 0.24
0.41 0.26,0.41 0.32,0.37 0.31,0.31 0.23,0.31 0.12,0.46 0.31,0.53 0.24,0.53 0.15,0.38 0.54,0.37 0.70,0.36 0.84,0.44 0.54,0.44 0.71,0.46 0.86,0.40 0.24,0.42 0.24,0.39 0.24,0.44 0.24
0.41 0.26,0.41 0.32,0.37 0.31,0.31 0.23,0.31 0.12,0.46 0.31,0.53 0.24,0.53 0.15,0.38 0.54,0.37 0.70,0.36 0.84,0.44 0.54,0.44 0.71,0.46 0.86,0.40 0.24,0.42 0.24,0.39 0.24,0.44 0.24
0.41 0.26,0.41 0.32,0.37 0.32,0.31 0.23,0.31 0.12,0.46 0.32,0.53 0.24,0.53 0.15,0.38 0.54,0.37 0.70,0.36 0.84,0.44 0.54,0.44 0.71,0.45 0.86,0.40 0.24,0.42 0.24,0.39 0.24,0.44 0.24
0.41 0.26,0.41 0.32,0.37 0.32,0.29 0.25,0.31 0.15,0.46 0.32,0.53 0.27,0.53 0.18,0.38 0.54,0.37 0.70,0.36 0.83,0.44 0.54,0.44 0.70,0.45 0.84,0.40 0.24,0.42 0.24,0.39 0.24,0.44 0.25
0.41 0.26,0.41 0.32,0.36 0.32,0.28 0.27,0.30 0.17,0.46 0.33,0.54 0.29,0.53 0.20,0.37 0.53,0.37 0.70,0.36 0.83,0.44 0.54,0.44 0.70,0.45 0.85,0.40 0.24,0.42 0.24,0.38 0.25,0.44 0.25
0.41 0.26,0.41 0.32,0.36 0.32,0.28 0.29,0.30 0.21,0.46 0.33,0.54 0.32,0.53 0.22,0.37 0.53,0.37 0.70,0.36 0.83,0.44 0.54,0.44 0.70,0.45 0.85,0.40 0.24,0.42 0.24,0.38 0.25,0.44 0.25
0.41 0.26,0.41 0.33,0.36 0.32,0.28 0.33,0.29 0.24,0.46 0.33,0.53 0.34,0.53 0.25,0.37 0.53,0.37 0.70,0.36 0.83,0.44 0.54,0.44 0.70,0.45 0.85,0.40 0.24,0.42 0.24,0.38 0.25,0.44 0.25
0.41 0.26,0.41 0.33,0.36 0.33,0.28 0.35,0.29 0.27,0.46 0.34,0.53 0.37,0.53 0.28,0.37 0.54,0.37 0.70,0.36 0.84,0.44 0.54,0.44 0.71,0.46 0.85,0.40 0.24,0.42 0.24,0.38 0.25,0.44 0.25
0.40 0.26,0.41 0.33,0.36 0.33,0.29 0.38,0.29 0.29,0.46 0.34,0.52 0.39,0.53 0.30,0.37 0.54,0.37 0.70,0.36 0.84,0.44 0.54,0.44 0.70,0.46 0.85,0.39 0.24,0.42 0.24,0.38 0.25,0.44 0.25
0.41 0.26,0.41 0.33,0.36 0.33,0.30 0.39,0.28 0.30,0.46 0.34,0.52 0.41,0.53 0.32,0.37 0.54,0.37 0.70,0.36 0.83,0.44 0.55,0.44 0.70,0.47 0.85,0.39 0.24,0.42 0.24,0.38 0.25,0.44 0.25
0.41 0.26,0.41 0.33,0.36 0.33,0.30 0.39,0.28 0.30,0.46 0.34,0.52 0.40,0.53 0.32,0.37 0.54,0.37 0.71,0.36 0.84,0.44 0.55,0.44 0.71,0.46 0.85,0.39 0.24,0.42 0.24,0.38 0.25,0.44 0.25
0.41 0.26,0.41 0.33,0.36 0.33,0.30 0.39,0.28 0.30,0.46 0.34,0.52 0.40,0.53 0.32,0.37 0.54,0.37 0.71,0.36 0.84,0.44 0.55,0.44 0.71,0.46 0.86,0.40 0.24,0.42 0.24,0.38 0.25,0.44 0.25
0.40 0.26,0.41 0.33,0.36 0.33,0.30 0.39,0.28 0.30,0.46 0.34,0.52 0.40,0.53 0.32,0.37 0.54,0.37 0.70,0.36 0.84,0.44 0.55,0.44 0.71,0.46 0.85,0.39 0.24,0.42 0.24,0.38 0.25,0.44 0.25
